,id,miles,price,state,year,capacity,Certified,gearbox,dwheel,ext,int,name,powertrain,brand,model
745,683504593,45311,36695,NY,2014,3.0,0,auto,AWD,Black,Nougat Brown,Used 2014 Audi A8 3.0T,8-Speed Automatic | AWD,Audi,A8
746,699221619,55335,30955,MD,2011,4.2,0,auto,AWD,Beige,Tan,Used 2011 Audi A8 L 4.2 quattro,8-Speed Automatic | AWD,Audi,A8
747,682359057,83112,12964,MT,2006,4.2,0,auto,AWD,Silver,,Used 2006 Audi A8 L 4.2 quattro,6-Speed Automatic | AWD,Audi,A8
748,699351936,86133,27124,ME,2013,3.0,0,auto,AWD,Black,Black,Used 2013 Audi A8 L 3.0T,8-Speed Automatic | AWD,Audi,A8
749,695362270,100533,10801,AL,2005,4.2,0,auto,AWD,Black,,Used 2005 Audi A8 L 4.2 quattro,6-Speed Automatic | AWD,Audi,A8
750,687660601,8945,57497,MI,2016,3.0,1,auto,AWD,Ibis White,Nougat Brown,Certified 2016 Audi A8 3.0T,Automatic with Tiptronic | AWD,Audi,A8
751,700000154,21358,51995,CT,2015,3.0,0,auto,AWD,Ibis White,Nougat Brown,Used 2015 Audi A8 L 3.0T,8-Speed Automatic w/OD | AWD,Audi,A8
752,700000206,26604,46995,CT,2014,4.0,0,auto,AWD,Oolong Gray Metallic,Black,Used 2014 Audi A8 L 4.0T,8-Speed Automatic w/OD | AWD,Audi,A8
753,699941570,36999,35492,OH,2013,4.0,0,auto,AWD,Quartz Gray Metallic,Black,Used 2013 Audi A8 L 4.0T,8-Speed Automatic | AWD,Audi,A8
754,700327310,52468,36995,CT,2014,3.0,0,auto,AWD,Oolong Gray Metallic,Titanium Gray,Used 2014 Audi A8 L 3.0T,8-Speed Automatic w/OD | AWD,Audi,A8
755,698982021,163000,7500,MA,2006,4.2,0,auto,AWD,Unspecified,,Used 2006 Audi A8 L 4.2 quattro,6-Speed Automatic | AWD,Audi,A8
756,684714449,4798,60995,TN,2016,3.0,0,auto,AWD,Monsoon Gray Metallic,Black,Used 2016 Audi A8 3.0T,Automatic with Tiptronic | AWD,Audi,A8
757,695254328,6215,72677,FL,2017,3.0,0,auto,AWD,Mythos Black Metallic,Black,Used 2017 Audi A8 L 3.0T,Automatic with Tiptronic | AWD,Audi,A8
758,696572504,10261,68988,TN,2017,3.0,0,auto,AWD,Mythos Black Metallic,Black,Used 2017 Audi A8 3.0T,8-Speed Automatic | AWD,Audi,A8
759,700015191,20300,58995,UT,2015,3.0,0,auto,AWD,White,Black,Used 2015 Audi A8 L 3.0T,Automatic | AWD,Audi,A8
760,700389418,41935,44980,CT,2015,4.0,0,auto,AWD,White,Velvet Beige,Used 2015 Audi A8 4.0T,8-Speed Automatic | AWD,Audi,A8
761,671094349,69955,15777,MT,2007,4.2,0,auto,AWD,Light Silver,Gray,Used 2007 Audi A8 L 4.2 quattro,6-Speed Automatic | AWD,Audi,A8
762,687340179,112335,5995,CT,2000,4.2,0,auto,AWD,Green,Tan,Used 2000 Audi A8 4.2 quattro,5-Speed Automatic | AWD,Audi,A8
763,646460420,21688,36000,NY,2013,3.0,0,auto,AWD,Black,Black,Used 2013 Audi A8 3.0T quattro,8-Speed Automatic | AWD,Audi,A8
764,689804560,29764,39900,MN,2013,4.0,0,auto,AWD,Glacier White,,Used 2013 Audi A8 L 4.0T,8-Speed Automatic | AWD,Audi,A8
765,699387706,29953,45995,CT,2014,4.0,0,auto,AWD,Ice Silver Metallic,Black,Used 2014 Audi A8 L 4.0T,8-Speed Automatic w/OD | AWD,Audi,A8
766,698458403,36650,34699,CA,2014,3.0,0,auto,AWD,Brilliant Black,Black,Used 2014 Audi A8 3.0T,8-Speed Automatic | AWD,Audi,A8
767,691312270,39396,41999,CA,2014,3.0,1,auto,AWD,Quartz Gray Metallic,Black,Certified 2014 Audi A8 L 3.0T,8-Speed Automatic | AWD,Audi,A8
768,696592734,44651,34999,MI,2012,4.2,0,auto,AWD,Gray,,Used 2012 Audi A8 L 4.2 quattro,8-Speed Automatic | AWD,Audi,A8
769,697419212,138709,7995,NY,2007,4.2,0,auto,AWD,Black,Tan,Used 2007 Audi A8 L 4.2 quattro,6-Speed Automatic | AWD,Audi,A8
770,696405436,30566,36988,TX,2017,3.0,0,auto,AWD,Glacier White,,Used 2017 Audi A8 L 3.0T,8-Speed Automatic | AWD,Audi,A8
771,697778958,45072,30990,IA,2011,4.2,0,auto,AWD,Quartz Gray Metallic,Titanium,Used 2011 Audi A8 L 4.2 quattro,8-Speed Automatic | AWD,Audi,A8
772,700518867,65940,29975,MN,2013,3.0,0,auto,AWD,Quartz Gray Metallic,Black,Used 2013 Audi A8 L 3.0T,8-Speed Automatic | AWD,Audi,A8
773,696088340,103837,4995,MO,2002,4.2,0,auto,AWD,Brilliant Black,Saber Black,Used 2002 Audi A8 4.2 quattro L,5-Speed Automatic | AWD,Audi,A8
774,695681784,112049,8995,MI,2004,4.2,0,auto,AWD,Gold,,Used 2004 Audi A8 L 4.2 quattro,6-Speed Automatic | AWD,Audi,A8
775,681486406,113154,12995,IN,2007,4.2,0,auto,AWD,Navy Blue,Burnt Orange,Used 2007 Audi A8 L 4.2 quattro,6-Speed Automatic | AWD,Audi,A8
776,697387819,124355,13995,CA,2009,4.2,0,auto,AWD,White,Bronze,Used 2009 Audi A8 L 4.2 quattro,6-Speed Automatic | AWD,Audi,A8
777,699778422,182544,3500,SC,2003,4.2,0,auto,AWD,Black,,Used 2003 Audi A8 4.2 quattro L,5-Speed Automatic | AWD,Audi,A8
778,659602723,0,19700,VA,2011,4.2,0,auto,AWD,Ibis White,Silk Beige,Used 2011 Audi A8 L 4.2 quattro,8-Speed Automatic | AWD,Audi,A8
779,686431118,0,6700,VA,2008,4.2,0,auto,AWD,Ice Silver Metallic,Black,Used 2008 Audi A8 L 4.2 quattro,6-Speed Automatic | AWD,Audi,A8
780,626361630,0,6901,VA,2006,4.2,0,auto,AWD,Akoya Silver Metallic,Ebony,Used 2006 Audi A8 L 4.2 quattro,6-Speed Automatic | AWD,Audi,A8
781,695304139,3814,72800,OH,2017,,1,auto,AWD,Mythos Black Metallic,Black,Certified 2017 Audi A8,8-Speed Automatic w/OD | AWD,Audi,A8
782,693902111,4021,73555,FL,2017,3.0,0,auto,AWD,Mythos Black Metallic,Black,Used 2017 Audi A8 L 3.0T,Automatic with Tiptronic | AWD,Audi,A8
783,695817804,26707,53995,CT,2015,4.0,0,auto,AWD,Oolong Gray Metallic,Nougat Brown,Used 2015 Audi A8 L 4.0T,Automatic | AWD,Audi,A8
784,697917609,88400,6700,VA,2009,4.2,0,auto,AWD,Black,Tan,Used 2009 Audi A8 L 4.2 quattro,6-Speed Automatic | AWD,Audi,A8
785,690445594,106929,4995,TX,2005,4.2,0,auto,AWD,Gray,,Used 2005 Audi A8 4.2 quattro,6-Speed Automatic | AWD,Audi,A8
786,641297654,117995,5901,VA,2006,4.2,0,auto,AWD,Sebring Silver Metallic,Ebony,Used 2006 Audi A8 4.2 quattro,6-Speed Automatic | AWD,Audi,A8
787,697212033,137840,10500,TX,2005,4.2,0,auto,AWD,Blue,Platinum,Used 2005 Audi A8 L 4.2 quattro,6-Speed Automatic | AWD,Audi,A8
788,698063508,142195,5995,CA,2005,4.2,0,auto,AWD,Brilliant Black,Black,Used 2005 Audi A8 L 4.2 quattro,6-Speed Automatic | AWD,Audi,A8
789,698779365,169094,4400,VA,2006,4.2,0,auto,AWD,Black,Tan,Used 2006 Audi A8 L 4.2 quattro,6-Speed Automatic | AWD,Audi,A8
