,id,miles,price,state,year,capacity,Certified,brand,model,gearbox,dwheel,ext,int,name,powertrain
290,697285020,36533,14993,CA,2013,2.0,0,Acura,ILX,auto,FWD,Silver,Ebony,Used 2013 Acura ILX 2.0L,5-Speed Automatic | FWD
291,645735188,37151,17997,NC,2013,2.0,0,Acura,ILX,auto,FWD,Fathom Blue Pearl,Parchment,Used 2013 Acura ILX 2.0L Technology,5-Speed Automatic | FWD
292,700379824,37443,14880,NY,2015,2.0,0,Acura,ILX,auto,FWD,White,Ebony,Used 2015 Acura ILX 2.0L,5-Speed Automatic | FWD
293,694984835,37770,14745,MA,2013,2.0,0,Acura,ILX,auto,FWD,Crystal Black Pearl,Ebony,Used 2013 Acura ILX 2.0L Technology,5-Speed Automatic | FWD
294,698324267,37951,15980,GA,2013,2.0,0,Acura,ILX,auto,FWD,Polished Metal Metallic,Ebony,Used 2013 Acura ILX 2.0L Technology,5-Speed Automatic | FWD
295,700647758,38048,17999,CA,2015,2.0,1,Acura,ILX,auto,FWD,Silver Moon Metallic,Ebony,Certified 2015 Acura ILX 2.0L,5-Speed Automatic | FWD
296,696105982,38124,13595,FL,2014,2.0,0,Acura,ILX,auto,FWD,Crystal Black Pearl,Ebony,Used 2014 Acura ILX 2.0L Technology,5-Speed Automatic | FWD
297,699805190,38253,16289,NY,2014,2.0,0,Acura,ILX,auto,FWD,Crystal Black Pearl,Ebony,Used 2014 Acura ILX 2.0L,Crystal Black Pearl (ext) | Ebony (int)
298,698032819,38890,17692,PA,2014,2.0,1,Acura,ILX,auto,FWD,Bellanova White Pearl,Ebony,Certified 2014 Acura ILX 2.0L Premium,5-Speed Automatic | FWD
299,698286110,38890,15499,PA,2014,2.0,0,Acura,ILX,auto,FWD,Black,Ebony,Used 2014 Acura ILX 2.0L,5-Speed Automatic | FWD
300,696001235,38903,16991,VA,2014,2.0,0,Acura,ILX,auto,FWD,White,Ebony,Used 2014 Acura ILX 2.0L,5-Speed Automatic | FWD
301,694193335,39139,19995,PA,2013,2.0,0,Acura,ILX,auto,FWD,Black,Ebony,Used 2013 Acura ILX 2.0L Premium,8-Speed Automatic with Auto-Shift | FWD
302,699247793,39248,15981,SC,2013,2.0,0,Acura,ILX,auto,FWD,Gray,Ebony,Used 2013 Acura ILX 2.0L,5-Speed Automatic | FWD
303,699653632,39582,17991,WA,2013,2.0,0,Acura,ILX,auto,FWD,White,Parchment,Used 2013 Acura ILX 2.0L Technology,5-Speed Automatic | FWD
304,697684872,39682,14895,NJ,2014,2.4,0,Acura,ILX,manual,FWD,Bellanova White Pearl,Ebony,Used 2014 Acura ILX 2.4L w/Premium Package,6-Speed Manual | FWD
305,693863414,40154,15495,GA,2014,2.0,0,Acura,ILX,auto,FWD,Black,Ebony,Used 2014 Acura ILX 2.0L Technology,5-Speed Automatic | FWD
306,696813989,40185,16500,WA,2014,2.0,0,Acura,ILX,auto,FWD,Polished Metal Metallic,Ebony,Used 2014 Acura ILX 2.0L,5-Speed Automatic | FWD
307,694418577,40264,17287,CO,2014,2.0,0,Acura,ILX,auto,FWD,Black,,Used 2014 Acura ILX 2.0L Technology,5-Speed Automatic | FWD
308,698390734,40376,14981,FL,2013,2.0,0,Acura,ILX,auto,FWD,Silver,Gray,Used 2013 Acura ILX 2.0L,5-Speed Automatic w/Manual Shift | FWD
309,697513490,40435,15998,AZ,2014,2.0,0,Acura,ILX,auto,FWD,Bellanova White Pearl,Ebony,Used 2014 Acura ILX 2.0L,5-Speed Automatic | FWD
310,696549744,40444,14995,OH,2013,2.0,0,Acura,ILX,auto,FWD,Gray,Parchment,Used 2013 Acura ILX 2.0L Technology,5-Speed Automatic | FWD
311,694103123,40501,14495,GA,2015,2.0,0,Acura,ILX,auto,FWD,White,,Used 2015 Acura ILX 2.0L,5-Speed Automatic | FWD
312,699938205,40600,14777,IL,2014,2.0,0,Acura,ILX,auto,FWD,Polished Metal Metallic,Ebony,Used 2014 Acura ILX 2.0L,5-Speed Automatic | FWD
313,698621256,40604,13799,GA,2014,2.0,0,Acura,ILX,auto,FWD,Black,Ebony,Used 2014 Acura ILX 2.0L,5-Speed Automatic | FWD
314,699174347,40700,17992,TX,2014,2.0,1,Acura,ILX,auto,FWD,Bellanova White Pearl,Ebony,Certified 2014 Acura ILX 2.0L,5-Speed Automatic w/OD | FWD
315,693297154,41021,16490,GA,2013,2.0,1,Acura,ILX,auto,FWD,Crystal Black Pearl,Parchment,Certified 2013 Acura ILX 2.0L Technology,5-Speed Automatic | FWD
316,699075568,41075,15972,FL,2014,2.0,0,Acura,ILX,auto,FWD,Alabaster Silver Metallic,Ebony,Used 2014 Acura ILX 2.0L Premium,5-Speed Automatic | FWD
317,698278900,41185,14994,AL,2014,2.0,0,Acura,ILX,auto,FWD,Crystal Black Pearl,Ebony,Used 2014 Acura ILX 2.0L,5-Speed Automatic | FWD
318,698906621,41686,15788,AZ,2014,2.0,0,Acura,ILX,auto,FWD,Black,Ebony,Used 2014 Acura ILX 2.0L,5-Speed Automatic | FWD
319,699954079,41836,15500,AZ,2013,2.0,0,Acura,ILX,auto,FWD,Bellanova White Pearl,Ebony,Used 2013 Acura ILX 2.0L,5-Speed Automatic | FWD
320,696331236,41863,17995,AL,2014,2.0,0,Acura,ILX,auto,FWD,Crystal Black Pearl,Ebony,Used 2014 Acura ILX 2.0L Technology,5-Speed Automatic | FWD
321,696974063,41872,13954,TN,2013,2.0,0,Acura,ILX,auto,FWD,White,Ebony,Used 2013 Acura ILX 2.0L,5-Speed Automatic | FWD
322,698177291,42055,19495,VA,2015,2.0,0,Acura,ILX,auto,FWD,Bellanova White Pearl,Ebony,Used 2015 Acura ILX 2.0L Technology,5-Speed Automatic | FWD
323,699384881,42070,19999,TN,2015,2.0,0,Acura,ILX,auto,FWD,Crystal Black Pearl,Ebony,Used 2015 Acura ILX 2.0L,5-Speed Automatic | FWD
324,698364505,42086,16990,MD,2014,2.0,0,Acura,ILX,auto,FWD,Black,,Used 2014 Acura ILX 2.0L Technology,5-Speed Automatic | FWD
325,698689489,42740,15692,TX,2014,2.0,0,Acura,ILX,auto,FWD,Gray,Ebony,Used 2014 Acura ILX 2.0L Premium,5-Speed Automatic | FWD
326,699780102,42805,14980,GA,2013,2.0,0,Acura,ILX,auto,FWD,Silver,,Used 2013 Acura ILX 2.0L,5-Speed Automatic | FWD
327,699109156,43435,16995,AL,2014,2.0,0,Acura,ILX,auto,FWD,Polished Metal Metallic,Ebony,Used 2014 Acura ILX 2.0L,5-Speed Automatic | FWD
