,id,miles,name,powertrain,price,state,brand,model,year,capacity,Certified,gearbox,dwheel,ext,int
57,699871067,43346,Certified 2014 BMW 528 i,8-Speed Automatic | RWD,28981,CA,BMW,5,2014,,1,auto,RWD,Imperial Blue Metallic,Beige
58,700173923,6139,Used 2015 BMW 528 i,8-Speed Automatic | RWD,36981,TX,BMW,5,2015,,0,auto,RWD,Space Gray Metallic,Brown
59,699284757,20098,Certified 2014 BMW 528 i,8-Speed Automatic | RWD,30981,CA,BMW,5,2014,,1,auto,RWD,Silver,Black
60,697745621,23737,Certified 2014 BMW 528 i,8-Speed Automatic | RWD,31882,CA,BMW,5,2014,,1,auto,RWD,Black,Black
61,700054980,33746,Used 2008 BMW 528 i,6-Speed Automatic | RWD,14991,CA,BMW,5,2008,,0,auto,RWD,Black,Black
62,697966645,38286,Certified 2014 BMW 528 i,8-Speed Automatic | RWD,26482,CA,BMW,5,2014,,1,auto,RWD,Gray,Black
63,699270574,38777,Used 2011 BMW 528 i,8-Speed Automatic | RWD,19981,CA,BMW,5,2011,,0,auto,RWD,Gray,Black
64,700616107,23570,Used 2015 BMW 528 i,8-Speed Automatic | RWD,32981,TX,BMW,5,2015,,0,auto,RWD,White,Black
65,694993383,29535,Used 2014 BMW 528 i,8-Speed Automatic | RWD,27000,IN,BMW,5,2014,,0,auto,RWD,Alpine White,Black
66,696824080,35076,Certified 2014 BMW 528 i,8-Speed Automatic | RWD,25883,CA,BMW,5,2014,,1,auto,RWD,Gray,Black
67,692001604,36505,Certified 2014 BMW 528 i xDrive,8-Speed Automatic | AWD,27979,PA,BMW,5,2014,,1,auto,AWD,Gray Metallic,Venetian Beige
68,696894759,44039,Used 2014 BMW 528 i xDrive,8-Speed Automatic | AWD,25998,VA,BMW,5,2014,,0,auto,AWD,Black,
69,698781852,73694,Used 2011 BMW 528 i,8-Speed Automatic | RWD,17692,TX,BMW,5,2011,,0,auto,RWD,Gray,Black
70,682448262,9,Used 2016 BMW 528 i,8-Speed Automatic | RWD,49986,TN,BMW,5,2016,,0,auto,RWD,Jet Black,Black
71,686406432,14406,Used 2016 BMW 528 i xDrive,8-Speed Automatic | AWD,45587,UT,BMW,5,2016,,0,auto,AWD,Gray,Black
72,696630969,24467,Used 2016 BMW 528 i,8-Speed Automatic | RWD,35141,TX,BMW,5,2016,,0,auto,RWD,Black,
73,700323419,36576,Used 2014 BMW 528 i,8-Speed Automatic | RWD,28981,TX,BMW,5,2014,,0,auto,RWD,White,Beige
74,695864784,42080,Used 2015 BMW 528 i xDrive,8-Speed Automatic | AWD,26986,IL,BMW,5,2015,,0,auto,AWD,Jet Black,Black
75,696724434,44019,Used 2011 BMW 528 i,8-Speed Automatic w/manual shift | RWD,19922,IL,BMW,5,2011,,0,auto|manual,RWD,White,Black
76,699023829,63050,Used 2011 BMW 528 i,8-Speed Automatic | RWD,19590,FL,BMW,5,2011,,0,auto,RWD,Black,Venetian Beige
77,699751382,67513,Used 2007 BMW 530 i,Automatic | RWD,10991,PA,BMW,5,2007,,0,auto,RWD,Titanium Silver Metallic,Gray
78,682127358,0,Used 2016 BMW 528 i,8-Speed Automatic | RWD,46986,TN,BMW,5,2016,,0,auto,RWD,Jet Black,Black
79,698823841,18921,Certified 2014 BMW 528 i,8-Speed Automatic | RWD,32191,CA,BMW,5,2014,,1,auto,RWD,Mineral White Metallic,Black
80,698577246,21202,Certified 2014 BMW 528 i xDrive,8-Speed Automatic | AWD,34577,IL,BMW,5,2014,,1,auto,AWD,Alpine White,Black
81,699420956,25871,Certified 2014 BMW 528 i,8-Speed Automatic | RWD,31988,CA,BMW,5,2014,,1,auto,RWD,Imperial Blue Metallic,Venetian Beige
82,698823768,29621,Certified 2014 BMW 528 i,8-Speed Automatic | RWD,29888,CA,BMW,5,2014,,1,auto,RWD,Jet Black,Cinnamon Brown
83,700103409,30761,Certified 2014 BMW 528 i,8-Speed Automatic | RWD,34990,CA,BMW,5,2014,,1,auto,RWD,Alpine White,Black
84,699765700,31336,Used 2016 BMW 528 i,8-Speed Automatic | RWD,32000,CA,BMW,5,2016,,0,auto,RWD,Alpine White,Black
85,699339903,31936,Certified 2014 BMW 528 i xDrive,8-Speed Automatic | AWD,32977,IL,BMW,5,2014,,1,auto,AWD,Dark Graphite Metallic,Black
86,698605373,36123,Certified 2014 BMW 528 i,8-Speed Automatic | RWD,27588,CA,BMW,5,2014,,1,auto,RWD,Jet Black,Black
87,698823613,37521,Certified 2014 BMW 528 i,8-Speed Automatic | RWD,28988,CA,BMW,5,2014,,1,auto,RWD,Alpine White,Black
88,698823651,39246,Certified 2014 BMW 528 i,8-Speed Automatic | RWD,28888,CA,BMW,5,2014,,1,auto,RWD,Jet Black,Black
89,697658607,64188,Used 2011 BMW 528 i,8-Speed Automatic | RWD,18492,TX,BMW,5,2011,,0,auto,RWD,Gray,Everest Gray
90,698087018,89692,Used 2011 BMW 528 i,8-Speed Automatic | RWD,15692,TX,BMW,5,2011,,0,auto,RWD,Gray,Black
91,699601412,149636,Used 2007 BMW 530 xi,6-Speed Automatic | AWD,8461,CO,BMW,5,2007,,0,auto,AWD,Titanium Silver Metallic,Black
92,694272137,3526,Certified 2016 BMW 528 i,8-Speed Automatic | RWD,49900,OR,BMW,5,2016,,1,auto,RWD,Jatoba Brown Metallic,Cinnamon Brown
93,699767020,21468,Certified 2014 BMW 528 i xDrive,8-Speed Automatic | AWD,32500,OR,BMW,5,2014,,1,auto,AWD,Alpine White,Venetian Beige
94,695949403,37562,Certified 2015 BMW 528 i xDrive,8-Speed Automatic | AWD,33500,CA,BMW,5,2015,,1,auto,AWD,Glacier Silver Metallic,Black
95,697850614,42985,Used 2013 BMW 528 i xDrive,8-Speed Automatic | AWD,24000,OR,BMW,5,2013,,0,auto,AWD,White,
96,698766248,70457,Used 2011 BMW 528 i,8-Speed Automatic | RWD,16492,FL,BMW,5,2011,,0,auto,RWD,Green Metallic,
