,id,miles,price,state,brand,model,year,capacity,Certified,gearbox,dwheel,ext,int,name,powertrain
0,700600355,33908,33999,AL,Acura,RLX,2014,,1,auto,FWD,Black,,Certified 2014 Acura RLX Technology Package,6-Speed Automatic | FWD
155,699285744,29225,23750,OH,Acura,RLX,2014,,0,auto,FWD,White,Ebony,Used 2014 Acura RLX w/ Navigation,6-Speed Automatic | FWD
156,699875930,29225,23750,AL,Acura,RLX,2014,,0,auto,FWD,White,Ebony,Used 2014 Acura RLX w/ Navigation,6-Speed Automatic | FWD
157,700266137,29225,23750,TX,Acura,RLX,2014,,0,auto,FWD,White,Ebony,Used 2014 Acura RLX w/ Navigation,6-Speed Automatic | FWD
158,699373802,29225,23750,NC,Acura,RLX,2014,,0,auto,FWD,White,Ebony,Used 2014 Acura RLX w/ Navigation,6-Speed Automatic | FWD
159,699643499,29225,23750,FL,Acura,RLX,2014,,0,auto,FWD,White,Ebony,Used 2014 Acura RLX w/ Navigation,6-Speed Automatic | FWD
160,699285456,29225,23750,OH,Acura,RLX,2014,,0,auto,FWD,White,Ebony,Used 2014 Acura RLX w/ Navigation,6-Speed Automatic | FWD
161,699910323,29225,23750,IN,Acura,RLX,2014,,0,auto,FWD,White,Ebony,Used 2014 Acura RLX w/ Navigation,6-Speed Automatic | FWD
162,699900799,29225,23750,TN,Acura,RLX,2014,,0,auto,FWD,White,Ebony,Used 2014 Acura RLX w/ Navigation,6-Speed Automatic | FWD
163,699286063,29225,23750,TX,Acura,RLX,2014,,0,auto,FWD,White,Ebony,Used 2014 Acura RLX w/ Navigation,6-Speed Automatic | FWD
164,699907016,29225,23750,NC,Acura,RLX,2014,,0,auto,FWD,White,Ebony,Used 2014 Acura RLX w/ Navigation,6-Speed Automatic | FWD
165,678412222,43054,22956,MA,Acura,RLX,2014,,0,auto,FWD,Forged Silver Metallic,Ebony,Used 2014 Acura RLX Technology Package,6-Speed Automatic | FWD
166,699203860,43272,28280,LA,Acura,RLX,2015,,0,auto,FWD,Gray,Gray,Used 2015 Acura RLX Technology Package,6-Speed Automatic | FWD
167,699846379,50530,23500,VA,Acura,RLX,2014,,0,auto,FWD,Dark Gray,Ebony,Used 2014 Acura RLX w/ Navigation,6-Speed Automatic | FWD
168,700109771,50530,23500,PA,Acura,RLX,2014,,0,auto,FWD,Dark Gray,Ebony,Used 2014 Acura RLX w/ Navigation,6-Speed Automatic | FWD
169,696654867,51099,25000,AZ,Acura,RLX,2014,,1,auto,FWD,Bellanova White Pearl,Ebony,Certified 2014 Acura RLX Navigation,6-Speed Automatic | FWD
170,699246431,56872,24000,TX,Acura,RLX,2014,,0,auto,FWD,Black,Ebony,Used 2014 Acura RLX Technology Package,6-Speed Automatic | FWD
171,700108439,56872,24000,PA,Acura,RLX,2014,,0,auto,FWD,Black,Ebony,Used 2014 Acura RLX Technology Package,6-Speed Automatic | FWD
172,699229376,56872,24000,VA,Acura,RLX,2014,,0,auto,FWD,Black,Ebony,Used 2014 Acura RLX Technology Package,6-Speed Automatic | FWD
