,id,miles,price,state,brand,model,year,capacity,Certified,gearbox,dwheel,ext,int,name,powertrain
8469,697696919,21497,28994,PA,Benz,C,2015,,0,auto,AWD,Lunar Blue Metallic,Beige,Used 2015 Mercedes-Benz C300 Luxury,7-Speed Automatic | AWD
8470,696093001,31583,28993,IL,Benz,C,2015,,0,auto,AWD,Polar White,Almond,Used 2015 Mercedes-Benz C300 4MATIC,7-Speed Automatic | AWD
8471,699436516,13747,28992,GA,Benz,C,2015,,0,auto,RWD,Black,Almond,Used 2015 Mercedes-Benz C300,7-Speed Automatic | RWD
8472,696167236,10300,28991,PA,Benz,C,2014,,1,auto,RWD,Black,Almond,Certified 2014 Mercedes-Benz C 250,7-Speed Automatic | RWD
8473,700530778,13516,28991,GA,Benz,C,2016,,0,auto,RWD,Polar White,Black,Used 2016 Mercedes-Benz C300,7-Speed Automatic | RWD
8474,699557269,18481,28991,CA,Benz,C,2015,,0,auto,RWD,Black,Black,Used 2015 Mercedes-Benz C300,7-Speed Automatic | RWD
8475,700374095,27693,28991,CA,Benz,C,2015,,0,auto,RWD,Gray,,Used 2015 Mercedes-Benz C300,Automatic | RWD
8476,698984698,28270,28991,CA,Benz,C,2015,,1,auto,RWD,Polar White,Black,Certified 2015 Mercedes-Benz C250,7-Speed Automatic | RWD
8477,699999110,40325,28991,FL,Benz,C,2015,,0,auto,AWD,White,Beige,Used 2015 Mercedes-Benz C300,7-Speed Automatic | AWD
8478,681566899,9826,28990,WA,Benz,C,2015,,0,auto,RWD,Mars Red,Black,Used 2015 Mercedes-Benz C250,7-Speed Automatic | RWD
8479,698201820,33339,28990,CA,Benz,C,2014,,0,auto,RWD,Palladium Silver,Black,Used 2014 Mercedes-Benz C350 Sport,7-Speed Automatic | RWD
8480,698960385,56540,28990,MN,Benz,C,2009,,0,auto,RWD,White,Black,Used 2009 Mercedes-Benz C63 AMG,7-Speed Automatic | RWD
8481,699234360,7151,28988,CA,Benz,C,2014,,1,auto,RWD,Polar White,Ash,Certified 2014 Mercedes-Benz C250 Sport,7-Speed Automatic | RWD
8482,697139593,10124,28988,TX,Benz,C,2016,,0,auto,RWD,Black,,Used 2016 Mercedes-Benz C300,7-Speed Automatic | RWD
8483,698488692,15154,28988,CA,Benz,C,2014,,1,auto,RWD,Black,Black,Certified 2014 Mercedes-Benz C250 Sport,7-Speed Automatic | RWD
8484,667546047,18049,28988,MA,Benz,C,2014,,0,auto,RWD,Obsidian Black,Black,Used 2014 Mercedes-Benz C 350 Sport,7-Speed Automatic | RWD
8485,700236211,19483,28988,CA,Benz,C,2014,,1,auto,RWD,Steel Gray Metallic,Black,Certified 2014 Mercedes-Benz C250 Sport,7-Speed Automatic | RWD
8486,698674347,21295,28988,CA,Benz,C,2015,,1,auto,RWD,White,,Certified 2015 Mercedes-Benz C300,7-Speed Automatic | RWD
8487,700718508,27394,28988,CA,Benz,C,2014,,0,auto,RWD,Black,Almond,Used 2014 Mercedes-Benz C 250 Sport,7-Speed Automatic | RWD
8488,698631504,18672,28985,NC,Benz,C,2014,,1,auto,RWD,Polar White,Ash Mb-Tex,Certified 2014 Mercedes-Benz C250W,7-SPEED A/T | RWD
8489,699340249,16114,28984,CA,Benz,C,2016,,0,auto,RWD,Diamond White Metallic,Platinum,Used 2016 Mercedes-Benz C300,7-Speed Automatic | RWD
8490,700004348,29934,28981,GA,Benz,C,2015,,0,auto,RWD,Black,Black,Used 2015 Mercedes-Benz C300 Luxury,7-Speed Automatic | RWD
8491,695880706,21309,28980,FL,Benz,C,2014,,0,auto,RWD,Silver,Black,Used 2014 Mercedes-Benz C350 Sport,7-Speed Automatic | RWD
8492,675709352,4450,28979,OR,Benz,C,2015,,0,auto,RWD,Palladium Silver,Black,Used 2015 Mercedes-Benz C250,7-Speed Automatic | RWD
8493,699815152,7237,28977,MD,Benz,C,2016,,0,auto,RWD,Diamond White Metallic,Beige,Used 2016 Mercedes-Benz C300,7-Speed Automatic | RWD
8494,697319678,7237,28977,MD,Benz,C,2016,,0,auto,RWD,Diamond White Metallic,Beige,Used 2016 Mercedes-Benz C300,7-Speed Automatic | RWD
8495,698030337,59620,28977,FL,Benz,C,2011,,0,auto,RWD,Arctic White,Black,Used 2011 Mercedes-Benz C63 AMG,7-Speed Automatic | RWD
8496,699722935,20020,28973,OH,Benz,C,2015,,0,auto,AWD,Diamond White Metallic,Black,Used 2015 Mercedes-Benz C300 4MATIC,7-Speed Automatic | AWD
8497,695850816,20517,28965,CA,Benz,C,2014,,1,auto,RWD,Polar White,Black,Certified 2014 Mercedes-Benz C250,7-Speed Automatic | RWD
8498,698636362,23816,28965,TX,Benz,C,2014,,1,auto,RWD,Iridium Silver Metallic,Black,Certified 2014 Mercedes-Benz C250,Automatic | RWD
8499,699337547,18220,28955,WA,Benz,C,2016,,0,auto,RWD,Black,Black,Used 2016 Mercedes-Benz C300,7-Speed Automatic | RWD
8500,696390133,9378,28950,PA,Benz,C,2015,,0,auto,RWD,White,,Used 2015 Mercedes-Benz C 250,7-Speed Automatic | RWD
8501,692472915,35102,28950,TX,Benz,C,2015,,0,auto,AWD,Polar White,Almond,Used 2015 Mercedes-Benz C300 4MATIC,7-Speed Automatic | AWD
8502,696758059,19738,28933,CA,Benz,C,2015,,0,auto,AWD,Black,Black,Used 2015 Mercedes-Benz C300,7-Speed Automatic | AWD
8503,697936355,17966,28922,MD,Benz,C,2015,,1,auto,RWD,Black,Black Appearance Upholstery,Certified 2015 Mercedes-Benz C250C,AUTOMATIC | RWD
8504,693374709,16656,28911,ID,Benz,C,2015,,0,auto,AWD,Gray,Black,Used 2015 Mercedes-Benz C300,7-Speed Automatic | AWD
8505,699994826,18372,28910,TX,Benz,C,2016,,0,auto,RWD,Black,,Used 2016 Mercedes-Benz C300,7-Speed Automatic | RWD
8506,700595784,16329,28901,NY,Benz,C,2014,,0,auto,AWD,Polar White,Black,Used 2014 Mercedes-Benz C 300 4MATIC,7-Speed Automatic | AWD
8507,687843468,13181,28900,PA,Benz,C,2015,,0,auto,AWD,Blue,Beige / Espresso,Used 2015 Mercedes-Benz C300 4MATIC,7-Speed Automatic | AWD
8508,698640810,14650,28900,AR,Benz,C,2014,,1,auto,RWD,Mars Red,Almond/Beige,Certified 2014 Mercedes-Benz C250 Sport,7-Speed Automatic w/OD | RWD
8509,677102282,18908,28900,WV,Benz,C,2014,,0,auto,AWD,Magnetite Black Metallic,Black,Used 2014 Mercedes-Benz C300 4MATIC Sport,7-Speed Automatic | AWD
8510,683109549,18951,28900,GA,Benz,C,2015,,0,auto,RWD,Iridium Silver Metallic,Black,Used 2015 Mercedes-Benz C300,7-Speed Automatic | RWD
8511,700398074,20370,28900,FL,Benz,C,2014,,0,auto,RWD,Black,,Used 2014 Mercedes-Benz C 250,7-Speed Automatic | RWD
8512,698724868,21866,28900,AR,Benz,C,2014,,1,auto,RWD,Polar White,Almond/Beige,Certified 2014 Mercedes-Benz C250 Sport,7-Speed Automatic w/OD | RWD
8513,700019467,22183,28900,IL,Benz,C,2014,,0,auto,AWD,Polar White,Almond,Used 2014 Mercedes-Benz C300 4MATIC,7-Speed Automatic | AWD
8514,700019498,23697,28900,IL,Benz,C,2014,,0,auto,AWD,Iridium Silver Metallic,Black,Used 2014 Mercedes-Benz C300 4MATIC,7-Speed Automatic | AWD
8515,697424540,24456,28900,NJ,Benz,C,2014,,1,auto,AWD,Black,Black,Certified 2014 Mercedes-Benz C300 4MATIC Sport,7-Speed Automatic | AWD
8516,694861400,25688,28900,TX,Benz,C,2014,,1,auto,RWD,Black,Black Mb-Tex,Certified 2014 Mercedes-Benz C250C,7-SPEED AUTOMATIC W/OD | RWD
8517,700086447,27735,28900,NJ,Benz,C,2014,,1,auto,AWD,Lunar Blue Metallic,Almond,Certified 2014 Mercedes-Benz C300 4MATIC Sport,7-Speed Automatic | AWD
8518,694149501,28317,28900,FL,Benz,C,2016,,0,auto,RWD,Obsidian Black Metallic,Silk Beige,Used 2016 Mercedes-Benz C300,7-Speed Automatic | RWD
8519,700002805,29111,28900,LA,Benz,C,2014,,1,auto,RWD,Black,Almond,Certified 2014 Mercedes-Benz C 250 Sport,7-Speed Automatic | RWD
8520,700375002,30612,28900,AR,Benz,C,2015,,0,auto,AWD,Polar White,Almond,Used 2015 Mercedes-Benz C300 4MATIC,Automatic | AWD
8521,698703270,31050,28900,CA,Benz,C,2015,,0,auto,RWD,Diamond Silver Metallic,Black,Used 2015 Mercedes-Benz C300 Sport,7-Speed Automatic | RWD
8522,696139172,34088,28900,CA,Benz,C,2015,,0,auto,RWD,Black,,Used 2015 Mercedes-Benz C 300,7-Speed Automatic | RWD
8523,699305570,44547,28900,TX,Benz,C,2015,,0,auto,AWD,Blue Metallic,Silk Beige,Used 2015 Mercedes-Benz C300,7-Speed Automatic | AWD
8524,699306262,15238,28899,TX,Benz,C,2016,,0,auto,RWD,Palladium Silver,Black,Used 2016 Mercedes-Benz C300,7-Speed Automatic | RWD
8525,697116206,33470,28899,TX,Benz,C,2015,,0,auto,AWD,Black,Black,Used 2015 Mercedes-Benz C300,7-Speed Automatic | AWD
8526,696694854,30157,28898,FL,Benz,C,2015,,0,auto,AWD,Iridium Silver Metallic,Crystal Gray,Used 2015 Mercedes-Benz C 300,7-Speed Automatic | AWD
8527,696218969,29067,28895,NJ,Benz,C,2014,,1,auto,AWD,White,Black,Certified 2014 Mercedes-Benz C300 4MATIC Luxury,7-Speed Automatic | AWD
8528,689186157,44973,28895,NY,Benz,C,2015,,0,auto,AWD,Polar White,Black,Used 2015 Mercedes-Benz C300 4MATIC,7-Speed Automatic | AWD
8529,695840379,14515,28888,MA,Benz,C,2016,,0,auto,AWD,Gray,Black,Used 2016 Mercedes-Benz C300 4MATIC Sport,7-Speed Automatic | AWD
8530,697626099,20523,28888,CA,Benz,C,2014,,0,auto,RWD,Iridium Silver Metallic,Black,Used 2014 Mercedes-Benz C250,7-Speed Automatic | RWD
8531,690589188,29581,28888,CA,Benz,C,2015,,1,auto,AWD,Palladium Silver Metallic,Crystal Gray,Certified 2015 Mercedes-Benz C300,7-Speed Automatic | AWD
8532,700151272,35948,28888,CA,Benz,C,2014,,1,auto,RWD,Polar White,Black,Certified 2014 Mercedes-Benz C250 Sport,7-Speed Automatic | RWD
8533,684176071,30659,28884,NJ,Benz,C,2014,,1,auto,RWD,Black,Beige,Certified 2014 Mercedes-Benz C250,7-Speed Automatic | RWD
8534,697338929,15867,28881,MD,Benz,C,2014,,1,auto,AWD,Palladium Silver Metallic,,Certified 2014 Mercedes-Benz C300 4MATIC Sport,7-Speed Automatic | AWD
8535,700146186,16313,28850,TX,Benz,C,2015,,0,auto,RWD,Palladium Silver Metallic,Almond,Used 2015 Mercedes-Benz C300,7-Speed Automatic | RWD
8536,698313895,24247,28850,TX,Benz,C,2014,,0,auto,RWD,Polar White,Almond,Used 2014 Mercedes-Benz C350 Sport,7-Speed Automatic | RWD
8537,694378090,30081,28850,IN,Benz,C,2015,,0,auto,AWD,Lunar Blue Metallic,Silk Beige,Used 2015 Mercedes-Benz C300,7-Speed Automatic | AWD
8538,698600254,28214,28826,TX,Benz,C,2016,,0,auto,RWD,Polar White,Black,Used 2016 Mercedes-Benz C300,7-Speed Automatic | RWD
8539,700574061,15577,28800,FL,Benz,C,2016,,0,auto,RWD,White,Black,Used 2016 Mercedes-Benz C300,7-Speed Automatic w/OD | RWD
8540,692688085,40005,28800,CT,Benz,C,2015,,1,auto,AWD,Black,,Certified 2015 Mercedes-Benz C 300 4MATIC,7-Speed Automatic | AWD
8541,690392937,40557,28800,CT,Benz,C,2015,,1,auto,AWD,Polar White,Silk Beige,Certified 2015 Mercedes-Benz C 300 4MATIC,7-Speed Automatic | AWD
8542,699416680,34024,28777,PA,Benz,C,2015,,1,auto,AWD,Gray,Crystal Gray,Certified 2015 Mercedes-Benz C300 4MATIC,7-Speed Automatic | AWD
8543,694154173,42559,28777,MS,Benz,C,2015,,1,auto,AWD,Gray,Crystal Gray,Certified 2015 Mercedes-Benz C300,7-Speed Automatic | AWD
8544,696729189,25007,28770,TX,Benz,C,2013,,0,auto,RWD,Pewter,Black,Used 2013 Mercedes-Benz C250,7-Speed Automatic | RWD
8545,700113548,23328,28756,NY,Benz,C,2014,,1,auto,AWD,Diamond White Metallic,Almond,Certified 2014 Mercedes-Benz C300 4MATIC Luxury,7-Speed Automatic | AWD
8546,696575373,15514,28728,CA,Benz,C,2015,,1,auto,RWD,Steel Gray Metallic,Black,Certified 2015 Mercedes-Benz C300 Luxury,7-Speed Automatic w/OD | RWD
8547,696603895,20663,28688,CA,Benz,C,2015,,1,auto,AWD,Iridium Silver,Black,Certified 2015 Mercedes-Benz C300,7-Speed Automatic | AWD
8548,687300386,23191,28677,FL,Benz,C,2015,,0,auto,AWD,Polar White,Black,Used 2015 Mercedes-Benz C300 4MATIC,7-Speed Automatic | AWD
8549,698728664,12731,28666,NC,Benz,C,2016,,0,auto,RWD,Black,,Used 2016 Mercedes-Benz C 300,7-Speed Automatic | RWD
8550,691975338,38477,28648,WV,Benz,C,2015,,0,auto,AWD,Lunar Blue Metallic,Almond,Used 2015 Mercedes-Benz C300,7-Speed Automatic | AWD
8551,691900627,30081,28598,UT,Benz,C,2015,,0,auto,AWD,White,,Used 2015 Mercedes-Benz C300 4MATIC Sport,7-Speed Automatic w/OD | AWD
8552,697410422,37217,28595,UT,Benz,C,2015,,0,auto,AWD,Gray,Crystal Gray,Used 2015 Mercedes-Benz C300 4MATIC,7-Speed Automatic | AWD
8553,698977111,25278,28591,CA,Benz,C,2015,,0,auto,RWD,Blue,Tan,Used 2015 Mercedes-Benz 300..W/BLUETOOTH COMAND LEATHER..CARFAX 1 OWNER,7-Speed Automatic | RWD
8554,692619341,20467,28588,TX,Benz,C,2016,,0,auto,RWD,Black,,Used 2016 Mercedes-Benz C300,7-Speed Automatic w/OD | RWD
8555,696958277,11024,28500,CA,Benz,C,2015,,0,auto,AWD,Black,,Used 2015 Mercedes-Benz C 300,7-Speed Automatic | AWD
8556,699846133,20391,28500,VA,Benz,C,2015,,0,auto,RWD,Off White,Beige,Used 2015 Mercedes-Benz C300,7-Speed Automatic | RWD
