,id,miles,price,state,brand,model,year,capacity,Certified,dwheel,gearbox,ext,int,name,powertrain
185,696783999,4601,32995,UT,Audi,A4,2017,2.0,0,AWD,auto,Monsoon Gray Metallic,Black,Used 2017 Audi A4 2.0T Premium Plus,7-Speed Automatic with Auto-Shift | AWD
186,699956168,4642,43989,IL,Audi,A4,2017,2.0,0,AWD,auto,Glacier White Metallic,Atlas Beige / Black,Used 2017 Audi A4 2.0T Premium Plus,7-Speed Automatic with Auto-Shift | AWD
187,700381696,4657,44989,IL,Audi,A4,2017,2.0,0,AWD,auto,Mythos Black Metallic,Black,Used 2017 Audi A4 2.0T Premium Plus,Automatic | AWD
188,695403344,4665,37000,CA,Audi,A4,2017,2.0,1,AWD,auto,Ibis White,Black,Certified 2017 Audi A4 2.0T Premium quattro,7-Speed Automatic with Auto-Shift | AWD
189,700546718,4675,41550,VA,Audi,A4,2017,2.0,0,AWD,auto,Mythos Black Metallic,Black,Used 2017 Audi A4 2.0T Premium quattro,7-Speed Automatic with Auto-Shift | AWD
190,698196689,4687,38930,TX,Audi,A4,2017,,0,FWD,auto,Blue,,Used 2017 Audi A4 ultra Premium Plus,Automatic | FWD
191,687871251,4696,41995,NY,Audi,A4,2017,2.0,1,AWD,auto,Brilliant Black,,Certified 2017 Audi A4 2.0T Premium Plus,7-Speed Automatic with Auto-Shift | AWD
192,700407034,4705,39950,MA,Audi,A4,2017,2.0,1,AWD,auto,Manhattan Gray Metallic,Nougat Brown / Black,Certified 2017 Audi A4 2.0T Premium quattro,Automatic | AWD
193,697118512,4857,33393,MD,Audi,A4,2017,2.0,0,AWD,auto,Brilliant Black,Black,Used 2017 Audi A4 2.0T Premium quattro,Automatic | AWD
194,698679749,4868,43997,NC,Audi,A4,2017,2.0,0,FWD,auto,Moonlight Blue Metallic,Nougat Brown / Black,Used 2017 Audi A4 2.0T Prestige,7-Speed Automatic with Auto-Shift | FWD
195,693904532,4878,38755,MO,Audi,A4,2017,2.0,0,AWD,auto,Cuvee Silver Metallic,Nougat Brown / Black,Used 2017 Audi A4 2.0T Premium quattro,Automatic | AWD
196,691637086,4936,37734,UT,Audi,A4,2017,2.0,0,AWD,auto,Ibis White,Black,Used 2017 Audi A4 2.0T Premium quattro,Automatic | AWD
197,699137587,4973,41999,CT,Audi,A4,2017,2.0,1,AWD,auto,Ibis White,Black,Certified 2017 Audi A4 2.0T Premium Plus,7-Speed Automatic with Auto-Shift | AWD
198,696029648,4998,43994,NV,Audi,A4,2017,,0,AWD,auto|manual,Glacier White Metallic,Black,Used 2017 Audi A4 Prestige,Glacier White Metallic (ext) | Black (int)
199,688413079,5110,38368,NY,Audi,A4,2017,2.0,0,AWD,auto,Brilliant Black,Black,Used 2017 Audi A4 2.0T Premium quattro,Automatic | AWD
200,695809247,5126,39994,IL,Audi,A4,2017,2.0,0,AWD,auto,Glacier White Metallic,Black,Used 2017 Audi A4 2.0T Premium Plus,7-Speed Automatic with Auto-Shift | AWD
201,698456052,5144,37995,FL,Audi,A4,2017,2.0,1,FWD,auto,Florett Silver Metallic,Rock Gray,Certified 2017 Audi A4 2.0T Premium,Automatic | FWD
202,696827159,5145,39000,IN,Audi,A4,2017,2.0,0,AWD,auto,Manhattan Gray Metallic,Black,Used 2017 Audi A4 2.0T Premium quattro,7-Speed Automatic with Auto-Shift | AWD
203,698570936,5230,36650,VA,Audi,A4,2017,2.0,1,FWD,auto,Gotland Green Metallic,Black,Certified 2017 Audi A4 2.0T Premium,7-Speed Automatic with Auto-Shift | FWD
204,692345011,5230,36485,CT,Audi,A4,2017,,1,AWD,auto|manual,Mythos Black Metallic,Black,Certified 2017 Audi A4 Premium,7-Speed Auto-Shift Manual w/OD | AWD
205,697521634,5357,33983,AL,Audi,A4,2017,2.0,1,FWD,auto,Gotland Green Metallic,Atlas Beige / Black,Certified 2017 Audi A4 2.0T Premium,Automatic | FWD
206,695083949,5378,38785,CT,Audi,A4,2017,,1,AWD,auto|manual,Brilliant Black,Black,Certified 2017 Audi A4 Premium,7-Speed Auto-Shift Manual w/OD | AWD
207,697373118,5433,37295,MN,Audi,A4,2016,2.0,0,AWD,manual,Florett Silver Metallic,Black,Used 2016 Audi A4 2.0T Premium quattro,6-Speed Manual | AWD
208,698057050,5452,41927,MD,Audi,A4,2017,,1,AWD,auto|manual,Gray,,Certified 2017 Audi A4 Premium Plus,7-Speed Auto-Shift Manual w/OD | AWD
209,696372605,5473,42492,TX,Audi,A4,2017,2.0,0,AWD,auto,Ibis White,Nougat Brown / Black,Used 2017 Audi A4 2.0T Premium Plus,Automatic | AWD
210,699279100,5500,36997,CT,Audi,A4,2017,2.0,1,FWD,auto,Manhattan Gray Metallic,Black,Certified 2017 Audi A4 2.0T Premium,Automatic | FWD
211,699328798,5574,27000,FL,Audi,A4,2014,2.0,0,AWD,auto,Ibis White,Black,Used 2014 Audi A4 2.0T Premium Plus quattro,8-Speed Automatic | AWD
212,685563084,5604,41368,NY,Audi,A4,2017,2.0,0,AWD,auto,Moonlight Blue Metallic,Nougat Brown / Black,Used 2017 Audi A4 2.0T Premium Plus,Automatic | AWD
213,700265887,5626,35981,MD,Audi,A4,2017,2.0,0,AWD,auto,Brilliant Black,Black,Used 2017 Audi A4 2.0T Premium quattro,Automatic | AWD
214,696537886,5653,45475,MN,Audi,A4,2017,2.0,0,AWD,auto,Florett Silver Metallic,Black,Used 2017 Audi A4 2.0T Prestige quattro,7-Speed Automatic with Auto-Shift | AWD
215,685146806,5778,34998,TX,Audi,A4,2017,2.0,0,FWD,auto,Brilliant Black,Black,Used 2017 Audi A4 2.0T Premium,Automatic | FWD
216,695519750,5787,29999,MO,Audi,A4,2013,2.0,0,AWD,auto,Phantom Black Pearl,Gray / Black,Used 2013 Audi A4 2.0T Prestige,8-Speed Automatic | AWD
217,699279108,5788,37997,CT,Audi,A4,2017,2.0,1,FWD,auto,Manhattan Gray Metallic,Black,Certified 2017 Audi A4 2.0T Premium,Automatic | FWD
218,699074734,5796,35570,TN,Audi,A4,2017,2.0,0,FWD,auto,Monsoon Gray Metallic,Black,Used 2017 Audi A4 2.0T Premium,Automatic | FWD
219,693856157,5812,35933,IL,Audi,A4,2017,2.0,1,AWD,auto,Mythos Black Metallic,Black,Certified 2017 Audi A4 2.0T Premium quattro,7-Speed Automatic with Auto-Shift | AWD
220,694825473,5945,37240,CA,Audi,A4,2017,2.0,0,FWD,auto,Brilliant Black,Black,Used 2017 Audi A4 2.0T Premium Plus,Automatic | FWD
221,698407011,5971,38950,VA,Audi,A4,2017,2.0,1,AWD,auto,Ibis White,Atlas Beige / Black,Certified 2017 Audi A4 2.0T Premium quattro,7-Speed Automatic with Auto-Shift | AWD
222,696021374,6000,41900,MN,Audi,A4,2017,2.0,0,AWD,auto,Tango Red Metallic,Black,Used 2017 Audi A4 2.0T Premium Plus quattro,7-Speed Automatic with Auto-Shift | AWD
223,698349386,6002,39000,CA,Audi,A4,2017,2.0,1,AWD,auto,Moonlight Blue Metallic,Black,Certified 2017 Audi A4 2.0T Premium quattro,7-Speed Automatic with Auto-Shift | AWD
224,688412629,6025,40888,NY,Audi,A4,2017,2.0,0,AWD,auto,Manhattan Gray Metallic,Black,Used 2017 Audi A4 2.0T Premium Plus,Automatic | AWD
225,700646482,6028,39995,CA,Audi,A4,2017,2.0,1,FWD,auto,Tango Red Metallic,Black,Certified 2017 Audi A4 2.0T Premium,7-Speed Automatic with Auto-Shift | FWD
226,697671789,6036,40000,MI,Audi,A4,2017,2.0,0,AWD,auto,Manhattan Gray Metallic,Black,Used 2017 Audi A4 2.0T Premium quattro,Automatic | AWD
227,700459522,6085,42997,IL,Audi,A4,2017,2.0,0,AWD,auto,Florett Silver Metallic,Black,Used 2017 Audi A4 2.0T Premium Plus,7-Speed Automatic with Auto-Shift | AWD
228,699956321,6087,40441,VA,Audi,A4,2017,2.0,1,AWD,auto,Ibis White,Nougat Brown / Black,Certified 2017 Audi A4 2.0T Premium Plus quattro,7-Speed Automatic with Auto-Shift | AWD
229,695171564,6091,38991,AL,Audi,A4,2017,2.0,1,AWD,auto,Glacier White Metallic,Nougat Brown / Black,Certified 2017 Audi A4 2.0T Premium quattro,Automatic | AWD
