,id,miles,price,state,brand,model,year,capacity,Certified,gearbox,dwheel,ext,int,name,powertrain
750,694987057,53086,22499,GA,Audi,A6,2014,2.0,0,auto,AWD,Havanna Black Metallic,Black,Used 2014 Audi A6 2.0T Premium quattro,8-Speed Automatic | AWD
751,700298269,53288,31981,TX,Audi,A6,2014,3.0,0,auto,AWD,Phantom Black Pearl,Black,Used 2014 Audi A6 3.0 TDI Premium Plus quattro,8-Speed Automatic | AWD
752,700125502,53343,22991,TX,Audi,A6,2013,2.0,0,auto,AWD,Black,Black,Used 2013 Audi A6 2.0T Premium Plus,8-Speed Automatic | AWD
753,695207864,53391,22977,TX,Audi,A6,2013,2.0,0,auto,FWD,Black,,Used 2013 Audi A6 2.0T Premium Plus,Automatic CVT | FWD
754,698063004,53436,22999,PA,Audi,A6,2012,3.0,0,auto,AWD,White,Nougat Brown,Used 2012 Audi A6 3.0T Premium quattro,8-Speed Automatic | AWD
755,652376278,53464,20915,NY,Audi,A6,2011,3.0,0,auto,AWD,Brilliant Black,Light Gray,Used 2011 Audi A6 3.0 Premium Plus quattro,6-Speed Automatic | AWD
756,673073308,53550,20598,TX,Audi,A6,2012,2.0,0,auto,FWD,Havanna Black Metallic,Black,Used 2012 Audi A6 2.0T Premium Plus,Automatic CVT | FWD
757,698846343,53961,23589,NJ,Audi,A6,2013,2.0,0,auto,AWD,Moonlight Blue Metallic,Nougat Brown,Used 2013 Audi A6 2.0T Premium quattro,8-Speed Automatic | AWD
758,697764864,54250,25688,CA,Audi,A6,2014,2.0,0,auto,AWD,Blue,Black,Used 2014 Audi A6 2.0T Premium Plus quattro,8-Speed Automatic | AWD
759,696242252,54582,24850,CA,Audi,A6,2012,3.0,0,auto,AWD,Brilliant Black,Black,Used 2012 Audi A6 3.0T Premium Plus quattro,8-Speed Automatic | AWD
760,697949298,54610,20492,OH,Audi,A6,2011,3.0,0,auto,AWD,Blue,Black,Used 2011 Audi A6 3.0 Premium quattro,6-Speed Automatic | AWD
