,id,miles,name,powertrain,price,state,brand,model,year,capacity,Certified,strange_pt2,gearbox,dwheel,ext,int
2925,698942295,46095,Used 2014 Lexus IS 250 Base,6-Speed Automatic | RWD,25970,CA,lexus,IS,2014,,0,0,auto,RWD,Nebula Gray Pearl,Light Gray
2926,696349434,47939,Used 2013 Lexus IS 250 Base,6-Speed Automatic | RWD,20988,NC,lexus,IS,2013,,0,0,auto,RWD,Liquid Platinum,Light Gray
2927,698924382,49069,Certified 2013 Lexus IS 250 Base,6-Speed Automatic | AWD,23498,PA,lexus,IS,2013,,1,0,auto,AWD,White,Black
2928,697257935,50327,Used 2010 Lexus IS 250,RWD,17412,UT,lexus,IS,2010,,0,0,,RWD,Black,
2929,697689728,50980,Used 2008 Lexus IS 250,6-Speed Automatic | RWD,15988,TX,lexus,IS,2008,,0,0,auto,RWD,Tungsten Pearl,
2930,698022265,53799,Used 2012 Lexus IS 250 Base,6-Speed Automatic | AWD,18990,IN,lexus,IS,2012,,0,0,auto,AWD,Red,
2931,699727298,56324,Used 2012 Lexus IS 250 Base,6-Speed Automatic | RWD,19988,CA,lexus,IS,2012,,0,0,auto,RWD,White,
2932,699976973,57319,Certified 2012 Lexus IS 250 Base,6-Speed Automatic | AWD,16963,NJ,lexus,IS,2012,,1,0,auto,AWD,White,Black
2933,677911607,58684,Used 2007 Lexus IS 250,6-Speed Automatic | RWD,15995,HI,lexus,IS,2007,,0,0,auto,RWD,Gray,Black
2934,695951803,58892,Used 2011 Lexus IS 250 Base,6-Speed Automatic | AWD,17900,PA,lexus,IS,2011,,0,0,auto,AWD,Gray,Black
2935,699649071,59250,Used 2008 Lexus IS 250,6-Speed Automatic | RWD,16888,WA,lexus,IS,2008,,0,0,auto,RWD,Smoky Granite Mica,Black
2936,699493405,61462,Used 2012 Lexus IS 250 Base,6-Speed Automatic | RWD,18000,OK,lexus,IS,2012,,0,0,auto,RWD,Obsidian Black,Black
2937,698522102,61679,Used 2012 Lexus IS 250 Base,6-Speed Automatic | RWD,18998,TX,lexus,IS,2012,,0,0,auto,RWD,Obsidian Black,Light Gray
