,id,miles,name,price,state,brand,model,year,capacity,Certified,gearbox,dwheel,ext,int,powertrain
22,679799120,0,Used 1993 Mercedes-Benz 300E 2.8,2795,CA,Benz,E,1993,2.8,0,auto,RWD,White,Gray,Automatic | RWD
23,700309967,183651,Used 1993 Mercedes-Benz 300E 4MATIC,2888,NJ,Benz,E,1993,,0,auto,4WD,Green,Beige,4-Speed Automatic | 4WD
24,697418845,278896,Used 2000 Mercedes-Benz E320 Wagon,2888,CA,Benz,E,2000,,0,auto,RWD,White,Blue,5-Speed Automatic | RWD
25,699767052,148734,Used 1993 Mercedes-Benz 300TE,2900,NJ,Benz,E,1993,,0,auto,,Tan,Beige,4-Speed Automatic
26,697517128,366498,Used 1991 Mercedes-Benz 300D 2.5,2900,TX,Benz,E,1991,2.5,0,auto,RWD,Beige,Beige,4-Speed Automatic | RWD
27,699779004,0,Used 1997 Mercedes-Benz E420,2950,SC,Benz,E,1997,,0,auto,RWD,Gray,,5-Speed Automatic | RWD
28,698546592,134523,Used 2003 Mercedes-Benz E500,2988,IN,Benz,E,2003,,0,auto,RWD,Alabaster White,,5-Speed Automatic | RWD
29,690760074,211926,Used 2000 Mercedes-Benz E320 4MATIC,2988,CO,Benz,E,2000,,0,auto,AWD,Glacier White,Charcoal,5-Speed Automatic | AWD
30,694503480,112528,Used 1999 Mercedes-Benz E430,2990,CA,Benz,E,1999,,0,auto,RWD,Gold,Gray,5-Speed Automatic | RWD
31,694212123,158236,Used 2002 Mercedes-Benz E320,2995,NC,Benz,E,2002,,0,auto,RWD,White,,5-Speed Automatic | RWD
32,699913845,176922,Used 2001 Mercedes-Benz E320 4MATIC,2995,NJ,Benz,E,2001,,0,auto,AWD,Blue,Beige,5-Speed Automatic | AWD
33,693964341,185349,Used 2000 Mercedes-Benz E320 4MATIC,2995,PA,Benz,E,2000,,0,auto,AWD,Silver,Black,5-Speed Automatic | AWD
34,691402967,196442,Used 1998 Mercedes-Benz E 320,2995,NC,Benz,E,1998,,0,auto,RWD,Black,,5-Speed Automatic | RWD
35,626008396,0,Used 1989 Mercedes-Benz 260E,2999,SC,Benz,E,1989,,0,auto,RWD,Gold,,Automatic | RWD
36,626417911,0,Used 1987 Mercedes-Benz,2999,CA,Benz,E,1987,,0,auto,RWD,White,Tan,Automatic | RWD
37,695338873,123000,Used 2001 Mercedes-Benz E320,2999,IL,Benz,E,2001,,0,auto,,Blue,Beige Leather,Automatic
38,698145017,146429,Used 1998 Mercedes-Benz E320,2999,FL,Benz,E,1998,,0,auto,RWD,Champagne,Beige,5-Speed Automatic | RWD
39,700181005,165112,Used 1999 Mercedes-Benz E320,2999,GA,Benz,E,1999,,0,auto,2WD,Black,,5-Speed Automatic | 2WD
40,699778583,183511,Used 2000 Mercedes-Benz E320 4MATIC,2999,SC,Benz,E,2000,,0,auto,AWD,Black,,5-Speed Automatic | AWD
41,697544218,188191,Used 2003 Mercedes-Benz E500,2999,IL,Benz,E,2003,,0,auto,RWD,Blue,Tan,5-Speed Automatic | RWD
42,695854772,195116,Used 2000 Mercedes-Benz E320 4MATIC,2999,VA,Benz,E,2000,,0,auto,AWD,Green,Tan,5-Speed Automatic | AWD
43,663740368,203610,Used 2002 Mercedes-Benz E320 4MATIC,2999,NC,Benz,E,2002,,0,auto,AWD,Silver,Gray,5-Speed Automatic | AWD
