price_tag,price,org_price
BMW_3_2017_2.0,58300,
BMW_3_2016_3.0,62835,
BMW_3_2016_2.0,53395,
BMW_3_2015_3.0,49995,
BMW_3_2015_2.0,44550,
BMW_3_2014_3.0,46455,
BMW_3_2014_2.0,45495,
BMW_3_2013_3.0,59995,
BMW_3_2013_2.0,34888,
BMW_3_2012_3.0,29999,
BMW_3_2012_2.0,45495,
BMW_3_2011_3.0,38795,
BMW_3_2011_2.0,35795,
BMW_3_2010_3.0,24999,
BMW_3_2010_2.0,26991,
BMW_3_2009_3.0,46980,
BMW_3_2009_2.0,30900,
BMW_3_2008_3.0,52496,
BMW_3_2008_2.0,29995,
BMW_3_2007_3.0,46950,
BMW_3_2007_2.0,21500,
BMW_3_2006_3.0,29000,
BMW_3_2006_2.0,36611,
BMW_3_2005_3.0,24990,
BMW_3_2005_2.0,39051,
BMW_3_2004_3.0,47323,
BMW_3_2004_2.0,15999,
BMW_3_2003_3.0,49980,
BMW_3_2003_2.0,39995,
BMW_3_2002_3.0,10350,
BMW_3_2002_2.0,13790,
BMW_3_2001_3.0,39567,
BMW_3_2001_2.0,10995,
BMW_3_2000_2.0,21900,
BMW_3_1999_2.0,35756,
BMW_3_1998_2.0,6995,
BMW_3_1997_2.0,7900,
BMW_3_1996_2.0,5995,
BMW_3_1995_2.0,9900,
BMW_3_1994_2.0,6990,
BMW_3_1993_2.0,37780,
BMW_3_1992_2.0,9900,
BMW_3_1991_2.0,28990,
BMW_3_1989_2.0,5950,
BMW_3_1988_2.0,8888,
BMW_3_1987_2.0,18980,
BMW_3_1978_2.0,14990,
Benz_S_2017_5.5,161320,
Benz_S_2016_6.2,134998,
Benz_S_2016_6.0,147628,
Benz_S_2016_5.5,129994,
Benz_S_2016_5.0,99915,
Benz_S_2015_6.5,193500,
Benz_S_2015_6.3,139888,
Benz_S_2015_6.0,109995,
Benz_S_2015_5.5,118570,
Benz_S_2015_5.0,78950,
Benz_S_2014_6.3,124900,
Benz_S_2014_5.5,84900,
Benz_S_2014_5.0,77862,
Benz_S_2013_6.3,69553,
Benz_S_2013_6.0,59901,
Benz_S_2013_5.5,56495,
Benz_S_2013_4.0,44900,
Benz_S_2013_3.5,49955,
Benz_S_2012_6.5,72888,
Benz_S_2012_6.3,59950,
Benz_S_2012_6.0,53995,
Benz_S_2012_5.5,52990,
Benz_S_2012_5.0,67988,
Benz_S_2012_3.5,59925,
Benz_S_2011_6.5,64995,
Benz_S_2011_6.3,89887,
Benz_S_2011_6.0,50899,
Benz_S_2011_5.5,140910,
Benz_S_2011_5.0,35900,
Benz_S_2011_4.0,27775,
Benz_S_2010_6.5,63800,
Benz_S_2010_6.3,59990,
Benz_S_2010_5.5,41900,
Benz_S_2010_5.0,26895,
Benz_S_2010_4.0,29500,
Benz_S_2009_6.5,52995,
Benz_S_2009_6.3,39999,
Benz_S_2009_5.5,38800,
Benz_S_2009_5.0,33986,
Benz_S_2008_6.5,29991,
Benz_S_2008_6.3,37990,
Benz_S_2008_6.0,33950,
Benz_S_2008_5.5,38995,
Benz_S_2008_5.0,21990,
Benz_S_2007_6.5,44900,
Benz_S_2007_6.0,32995,
Benz_S_2007_5.5,32999,
Benz_S_2006_6.5,24995,
Benz_S_2006_5.5,15982,
Benz_S_2006_5.0,16988,
Benz_S_2006_4.3,12995,
Benz_S_2006_3.5,11000,
Benz_S_2005_5.5,21875,
Benz_S_2005_5.0,13998,
Benz_S_2005_4.3,12900,
Benz_S_2004_6.0,14900,
Benz_S_2004_5.5,14400,
Benz_S_2004_5.0,12991,
Benz_S_2004_4.3,15995,
Benz_S_2003_6.0,10995,
Benz_S_2003_5.5,19888,
Benz_S_2003_5.0,13995,
Benz_S_2003_4.3,11995,
Benz_S_2002_6.0,10175,
Benz_S_2002_5.5,17221,
Benz_S_2002_5.0,18965,
Benz_S_2002_4.3,12995,
Benz_S_2001_6.0,16499,
Benz_S_2001_5.5,16900,
Benz_S_2001_5.0,8950,
Benz_S_2001_4.3,14491,
Benz_S_2000_5.0,16900,
Benz_S_2000_4.3,9287,
Benz_S_1999_4.2,5000,
Benz_S_1999_3.2,5988,
Benz_S_1998_5.0,6995,
Benz_S_1998_4.2,6995,
Benz_S_1998_3.2,6777,
Benz_S_1997_6.0,10700,
Benz_S_1997_5.0,10991,
Benz_S_1996_5.0,9500,
Benz_S_1996_4.2,18900,
Benz_S_1996_3.2,9888,
Benz_S_1995_6.0,5500,
Benz_S_1995_5.0,8995,
Benz_S_1995_4.2,9990,
Benz_S_1995_3.2,3995,
Benz_S_1994_6.0,9990,
Benz_S_1994_5.0,8450,
Benz_S_1993_5.0,7950,
Benz_S_1993_4.0,17900,
Benz_S_1993_3.0,8995,
